Player,Squad,Gls,Sh,SoT,Dist,xG,npxG,90s
Jordan Ayew,Leicester City,4.0,25.0,7.0,18.4,2.8,2.0,14.6
Shavy Babicka,Toulouse,4.0,19.0,9.0,14.8,3.4,3.4,13.0
Aliou Badara Baldé,Bochum,0.0,4.0,1.0,26.5,0.2,0.2,1.0
Leon Bailey,Aston Villa,1.0,28.0,6.0,17.3,1.7,1.7,12.6
Theo Bair,Auxerre,2.0,23.0,12.0,13.3,2.7,2.7,10.2
Cédric Bakambu,Betis,2.0,22.0,10.0,13.5,3.0,3.0,6.8
Mitchel Bakker,Lille,3.0,22.0,10.0,18.5,2.9,2.9,11.9
Ridle Baku,Wolfsburg,2.0,18.0,6.0,19.9,1.5,1.5,13.0
Dilane Bakwa,Strasbourg,4.0,45.0,20.0,21.4,4.3,4.3,24.1
Tommaso Baldanzi,Roma,1.0,18.0,3.0,18.5,1.4,1.4,8.4
Keita Baldé,Monza,1.0,10.0,2.0,17.2,0.5,0.5,5.2
Folarin Balogun,Monaco,3.0,27.0,8.0,12.3,4.2,4.2,5.8
Mario Balotelli,Genoa,0.0,2.0,0.0,30.5,0.0,0.0,0.7
Jonathan Bamba,Celta Vigo,0.0,13.0,6.0,18.4,0.8,0.8,9.0
Samuel Bamba,Bochum,0.0,2.0,1.0,22.0,0.1,0.1,0.3
Lameck Banda,Lecce,0.0,15.0,4.0,20.2,0.9,0.9,6.4
Scott Banks,St. Pauli,0.0,3.0,0.0,11.5,0.3,0.3,1.1
Adrian Baquerin,Valladolid,0.0,0.0,0.0,,0.0,0.0,0.1
Valentín Barco,Sevilla,0.0,7.0,0.0,27.8,0.3,0.3,3.2
Bradley Barcola,Paris S-G,13.0,69.0,34.0,13.2,12.7,12.7,21.5
Kike Barja,Osasuna,0.0,4.0,1.0,18.8,0.2,0.2,2.9
Harvey Barnes,Newcastle Utd,9.0,48.0,16.0,14.1,6.2,6.2,14.9
Ander Barrenetxea,Real Sociedad,1.0,21.0,7.0,15.2,1.5,1.5,11.9
Thierno Barry,Villarreal,10.0,67.0,22.0,11.8,11.9,11.2,22.5
Michy Batshuayi,Eint Frankfurt,2.0,3.0,2.0,9.2,0.8,0.8,2.8
Christoph Baumgartner,RB Leipzig,2.0,37.0,14.0,14.3,4.2,4.2,16.3
Adrian Beck,Heidenheim,2.0,31.0,8.0,18.0,2.5,2.5,14.4
Sheraldo Becker,Real Sociedad,2.0,22.0,13.0,19.1,2.0,2.0,11.0
Kevin Behrens,Wolfsburg,1.0,8.0,3.0,10.6,2.3,2.3,1.7
Maximilian Beier,Dortmund,8.0,42.0,13.0,12.6,7.7,7.7,17.7
Jean-Ricner Bellegarde,Wolves,2.0,20.0,5.0,21.7,1.3,1.3,16.4
Andrea Belotti,Como,2.0,19.0,3.0,12.7,2.5,2.5,6.6
Lucas Beltrán,Fiorentina,5.0,23.0,6.0,16.2,5.2,2.9,18.8
Eliesse Ben Seghir,Monaco,6.0,56.0,19.0,21.0,5.4,3.9,17.8
Adrian Benedyczak,Parma,0.0,3.0,0.0,18.4,0.3,0.3,2.2
László Bénes,Union Berlin,1.0,15.0,6.0,22.6,0.8,0.8,5.6
Iker Benito,Osasuna,0.0,0.0,0.0,,0.0,0.0,0.4
Saïd Benrahma,Lyon,1.0,17.0,4.0,20.2,2.0,2.0,8.2
Nabil Bentaleb,Lille,1.0,2.0,1.0,13.2,0.6,0.6,1.8
Álex Berenguer,Athletic Club,5.0,47.0,16.0,18.3,6.6,5.8,22.0
Mergim Berisha,Hoffenheim,1.0,11.0,3.0,16.0,1.0,1.0,3.7
Mergim Berisha,Augsburg,0.0,3.0,1.0,15.9,0.2,0.2,0.4
Alexander Bernhardsson,Holstein Kiel,4.0,18.0,7.0,18.4,1.7,1.7,10.6
Jan-Niklas Beste,Freiburg,0.0,5.0,2.0,16.9,0.9,0.9,2.0
Beto,Everton,6.0,34.0,17.0,13.4,6.1,6.1,12.5
Mika Biereth,Monaco,12.0,37.0,19.0,11.9,10.0,8.4,11.7
El Bilal Touré,Stuttgart,2.0,14.0,4.0,15.2,1.6,1.6,4.0
Tom Bischof,Hoffenheim,5.0,44.0,15.0,23.3,1.8,1.8,25.7
Ludovic Blas,Rennes,6.0,50.0,24.0,16.7,4.7,4.7,22.2
Myron Boadu,Bochum,7.0,20.0,9.0,11.9,5.6,4.8,7.8
Augustine Boakye,Saint-Étienne,3.0,24.0,9.0,20.8,1.8,1.8,8.1
Oscar Bobb,Manchester City,0.0,0.0,0.0,,0.0,0.0,0.2
Jeremie Boga,Nice,1.0,28.0,14.0,16.9,2.3,2.3,11.3
Victor Boniface,Leverkusen,8.0,50.0,17.0,14.5,7.8,7.1,11.2
Ange-Yoan Bonny,Parma,6.0,55.0,15.0,16.4,9.0,6.7,23.8
Saïmon Bouabré,Monaco,0.0,0.0,0.0,,0.0,0.0,0.8
Badredine Bouanani,Nice,2.0,25.0,11.0,20.3,1.5,1.5,8.8
Edoardo Bove,Fiorentina,1.0,7.0,2.0,14.6,0.6,0.6,9.5
Jarrod Bowen,West Ham,9.0,73.0,30.0,17.7,7.4,6.6,28.2
Iker Bravo,Udinese,2.0,12.0,3.0,16.8,0.9,0.9,6.9
Brenner,Udinese,1.0,7.0,4.0,19.8,0.6,0.6,4.3
Ben Brereton,Southampton,0.0,11.0,1.0,17.3,0.9,0.9,5.0
Maximilian Breunig,Heidenheim,2.0,10.0,2.0,15.2,3.4,2.7,3.9
Nathan Broadhead,Ipswich Town,1.0,10.0,6.0,15.4,1.5,1.5,6.7
Armando Broja,Everton,0.0,4.0,0.0,17.3,0.1,0.1,3.7
David Brooks,Bournemouth,2.0,22.0,10.0,16.8,2.2,2.2,9.1
Moritz Broschinski,Bochum,1.0,36.0,11.0,17.2,4.1,4.1,14.5
Jacob Bruun Larsen,Hoffenheim,2.0,14.0,6.0,15.2,2.3,2.3,4.4
Jacob Bruun Larsen,Stuttgart,1.0,3.0,2.0,19.5,0.3,0.3,4.2
Tajon Buchanan,Inter,0.0,0.0,0.0,,0.0,0.0,1.1
Ante Budimir,Osasuna,18.0,74.0,21.0,13.6,16.4,10.3,28.3
Emi Buendía,Aston Villa,0.0,5.0,0.0,19.1,0.7,0.7,1.1
Emi Buendía,Leverkusen,1.0,5.0,3.0,16.6,0.8,0.8,1.5
Manu Bueno,Sevilla,1.0,4.0,1.0,26.8,0.1,0.1,1.3
Endika Buján,Athletic Club,0.0,0.0,0.0,,0.0,0.0,0.1
Marius Bülter,Hoffenheim,5.0,29.0,13.0,15.7,3.1,3.1,15.9
Facundo Buonanotte,Leicester City,4.0,33.0,10.0,17.9,3.7,3.7,15.9
Jonathan Burkardt,Mainz 05,15.0,55.0,23.0,13.4,12.5,11.7,19.5
Oliver Burke,Werder Bremen,5.0,27.0,9.0,13.3,3.5,3.5,8.0
Rareș-Cătălin Burnete,Lecce,0.0,1.0,0.0,16.0,0.1,0.1,0.2
Wes Burns,Ipswich Town,0.0,7.0,1.0,18.3,0.5,0.5,10.3
Nathan Butler-Oyedeji,Arsenal,0.0,1.0,1.0,15.6,0.1,0.1,0.1
Pau Cabanes,Villarreal,1.0,4.0,2.0,14.2,0.5,0.5,1.8
Pau Cabanes,Alavés,0.0,2.0,1.0,26.6,0.0,0.0,2.0
Rémy Cabella,Lille,0.0,25.0,6.0,15.6,2.7,2.7,10.0
Mathieu Cafaro,Saint-Étienne,1.0,23.0,10.0,20.3,1.5,1.5,8.1
Dominic Calvert-Lewin,Everton,3.0,46.0,17.0,12.3,6.1,6.1,17.5
Drissa Camara,Parma,0.0,15.0,5.0,19.8,1.2,1.2,4.4
Mahdi Camara,Brest,5.0,46.0,19.0,16.6,3.8,3.8,25.7
Francesco Camarda,Milan,0.0,5.0,1.0,13.8,0.4,0.4,1.8
