Player,Squad,Gls,Sh,SoT,Dist,xG,npxG,90s
Andreas Albers,St. Pauli,1.0,3.0,1.0,11.9,0.6,0.6,0.7
Carlos Alcaraz,Everton,1.0,18.0,6.0,20.4,1.3,1.3,4.8
Carles Aleñá,Getafe,0.0,5.0,1.0,13.7,0.9,0.9,5.0
Carles Aleñá,Alavés,0.0,9.0,2.0,20.1,0.5,0.5,6.7
Alfon,Celta Vigo,4.0,40.0,15.0,17.0,3.8,3.8,11.4
Mohamed Ali Cho,Nice,3.0,34.0,15.0,17.8,3.7,3.7,17.5
Faride Alidou,Hellas Verona,0.0,1.0,0.0,32.2,0.0,0.0,0.8
Tadeo Allende,Celta Vigo,0.0,0.0,0.0,,0.0,0.0,0.0
Jim Allevinah,Angers,0.0,32.0,7.0,14.4,3.7,3.7,17.0
Thiago Almada,Lyon,1.0,16.0,4.0,20.8,1.7,1.7,6.2
Domingos André Ribeiro Almeida,Valencia,0.0,15.0,4.0,23.1,0.7,0.7,18.0
Iker Almena,Girona,0.0,1.0,0.0,24.7,0.0,0.0,0.5
Miguel Almirón,Newcastle Utd,0.0,6.0,2.0,14.2,0.5,0.5,1.7
Pontus Almqvist,Parma,1.0,26.0,9.0,17.4,2.1,2.1,12.3
Adrià Altimira,Leganés,0.0,5.0,2.0,23.2,0.2,0.2,12.8
Julián Álvarez,Atlético Madrid,12.0,56.0,26.0,18.1,9.8,8.2,21.5
Will Alves,Leicester City,0.0,0.0,0.0,,0.0,0.0,0.0
Amath,Valladolid,0.0,5.0,1.0,13.7,0.4,0.4,3.5
Samuel Amo-Ameyaw,Southampton,0.0,1.0,0.0,20.7,0.0,0.0,0.3
Mohamed Amoura,Wolfsburg,10.0,62.0,23.0,16.6,7.6,6.0,23.9
Marcos André,Valladolid,1.0,22.0,2.0,14.0,2.7,2.7,13.0
Lorenzo Anghelè,Juventus,0.0,0.0,0.0,,0.0,0.0,0.1
Leandro Antonetti,Sevilla,0.0,0.0,0.0,,0.0,0.0,0.1
Michail Antonio,West Ham,1.0,19.0,4.0,12.6,2.2,2.2,9.3
Antoniu,Espanyol,0.0,9.0,4.0,20.2,0.8,0.8,7.1
Antony,Betis,2.0,23.0,7.0,19.2,1.1,1.1,9.4
Anuar,Valladolid,2.0,9.0,4.0,13.6,1.5,1.5,14.4
Cameron Archer,Southampton,2.0,27.0,9.0,13.1,5.1,4.3,14.6
Adu Ares,Athletic Club,0.0,0.0,0.0,,0.0,0.0,0.2
Adam Armstrong,Southampton,2.0,25.0,7.0,16.6,3.3,2.3,13.9
José Arnaiz,Osasuna,0.0,5.0,2.0,21.8,0.3,0.3,1.3
Hákon Arnar Haraldsson,Lille,4.0,29.0,11.0,17.4,3.2,3.2,15.3
Marko Arnautović,Inter,4.0,9.0,6.0,8.6,2.6,2.6,4.0
Jann-Fiete Arp,Holstein Kiel,2.0,19.0,9.0,21.8,3.6,2.1,7.7
Arthur,Leverkusen,0.0,0.0,0.0,,0.0,0.0,6.2
Takuma Asano,Mallorca,2.0,24.0,7.0,13.5,2.3,2.3,10.6
Marco Asensio,Aston Villa,3.0,15.0,8.0,19.7,3.8,2.2,4.4
Marco Asensio,Paris S-G,2.0,26.0,14.0,14.5,5.6,5.6,6.9
Iago Aspas,Celta Vigo,8.0,40.0,15.0,21.8,7.5,3.6,17.1
Yaser Asprilla,Girona,3.0,33.0,8.0,23.1,1.6,1.6,11.9
Dehmaine Assoumani,Nantes,0.0,3.0,2.0,26.1,0.1,0.1,0.9
Arthur Atta,Udinese,0.0,20.0,6.0,20.4,0.9,0.9,9.3
Tommaso Augello,Cagliari,0.0,7.0,0.0,21.8,0.3,0.3,24.5
Ezequiel Ávila,Betis,2.0,20.0,10.0,17.9,1.5,1.5,7.5
Taiwo Awoniyi,Nott'ham Forest,1.0,10.0,4.0,12.6,2.1,2.1,4.0
Florian Ayé,Auxerre,2.0,9.0,3.0,14.0,1.7,1.7,5.4
André Ayew,Le Havre,4.0,18.0,7.0,10.9,4.1,4.1,13.4
Jordan Ayew,Crystal Palace,0.0,1.0,0.0,5.5,0.5,0.5,0.2
Jordan Ayew,Leicester City,4.0,25.0,7.0,18.4,2.8,2.0,14.6
Shavy Babicka,Toulouse,4.0,19.0,9.0,14.8,3.4,3.4,13.0
Aliou Badara Baldé,Bochum,0.0,4.0,1.0,26.5,0.2,0.2,1.0
Leon Bailey,Aston Villa,1.0,28.0,6.0,17.3,1.7,1.7,12.6
Theo Bair,Auxerre,2.0,22.0,12.0,12.5,2.7,2.7,9.5
Cédric Bakambu,Betis,2.0,22.0,10.0,13.5,3.0,3.0,6.8
Mitchel Bakker,Lille,3.0,22.0,10.0,18.5,2.9,2.9,11.9
Ridle Baku,Wolfsburg,2.0,18.0,6.0,19.9,1.5,1.5,13.0
Dilane Bakwa,Strasbourg,4.0,45.0,20.0,21.4,4.3,4.3,23.2
Tommaso Baldanzi,Roma,1.0,17.0,3.0,18.5,1.3,1.3,7.7
Keita Baldé,Monza,1.0,10.0,2.0,17.2,0.5,0.5,5.2
Folarin Balogun,Monaco,3.0,26.0,7.0,12.3,4.0,4.0,5.7
Mario Balotelli,Genoa,0.0,2.0,0.0,30.5,0.0,0.0,0.7
Jonathan Bamba,Celta Vigo,0.0,13.0,6.0,18.4,0.8,0.8,9.0
Samuel Bamba,Bochum,0.0,1.0,1.0,11.6,0.1,0.1,0.2
Lameck Banda,Lecce,0.0,14.0,3.0,20.4,0.8,0.8,6.1
Scott Banks,St. Pauli,0.0,3.0,0.0,11.5,0.3,0.3,1.1
Adrian Baquerin,Valladolid,0.0,0.0,0.0,,0.0,0.0,0.1
