Player,Squad,Gls,Sh,SoT,Dist,xG,npxG,90s
Abde Ezzalzouli,Betis,1.0,50.0,18.0,15.8,7.2,6.4,17.9
Alieu Fadera,Como,1.0,27.0,9.0,18.8,1.6,1.6,17.8
Romain Faivre,Brest,3.0,17.0,9.0,17.0,2.5,1.7,9.9
Abdul Fatawu Issahaku,Leicester City,0.0,13.0,5.0,31.2,0.4,0.4,6.4
Ansu Fati,Barcelona,0.0,5.0,3.0,14.0,0.6,0.6,1.4
Khalil Fayad,Montpellier,0.0,9.0,2.0,24.5,0.8,0.8,8.4
Jacopo Fazzini,Empoli,0.0,11.0,3.0,17.8,0.8,0.8,8.9
Mattia Felici,Cagliari,0.0,10.0,6.0,12.8,0.6,0.6,9.7
João Félix,Chelsea,1.0,20.0,5.0,15.9,2.2,2.2,4.1
Evan Ferguson,West Ham,0.0,5.0,1.0,17.2,0.6,0.6,1.6
Evan Ferguson,Brighton,1.0,7.0,2.0,19.2,0.5,0.5,2.7
Zinedine Ferhat,Angers,2.0,12.0,5.0,20.4,1.4,1.4,8.0
Roberto Férnandez,Espanyol,5.0,13.0,6.0,14.9,2.7,2.7,9.1
Valery Fernández,Mallorca,2.0,3.0,3.0,10.3,0.8,0.8,3.2
Matias Fernandez-Pardo,Lille,3.0,12.0,9.0,17.9,2.1,2.1,7.4
Daniel Fila,Venezia,1.0,6.0,4.0,13.7,1.1,1.1,3.8
Phil Foden,Manchester City,7.0,52.0,16.0,18.5,5.1,5.1,18.7
Malick Fofana,Lyon,4.0,26.0,13.0,13.9,3.6,3.6,13.4
Rayan Fofana,Lens,0.0,0.0,0.0,,0.0,0.0,0.3
Michael Folorunsho,Fiorentina,0.0,5.0,2.0,12.7,0.7,0.7,6.0
Michael Folorunsho,Napoli,0.0,1.0,0.0,9.8,0.1,0.1,0.4
Carlos Forbs,Wolves,0.0,2.0,0.0,19.1,0.1,0.1,2.6
Pablo Fornals,Betis,1.0,19.0,3.0,22.0,1.6,1.6,15.7
Omari Forson,Monza,0.0,1.0,0.0,29.2,0.0,0.0,1.0
Matheus França,Crystal Palace,1.0,3.0,2.0,12.8,0.1,0.1,0.3
Enric Franquesa,Leganés,1.0,3.0,1.0,16.8,0.3,0.3,6.8
Ryan Fraser,Southampton,0.0,1.0,1.0,31.6,0.0,0.0,3.4
Jorge de Frutos,Rayo Vallecano,4.0,42.0,13.0,15.9,4.7,4.7,22.9
Chris Führich,Stuttgart,1.0,28.0,8.0,17.5,2.0,2.0,18.1
Shiō Fukuda,Gladbach,1.0,1.0,1.0,20.5,0.3,0.3,0.5
Angelo Fulgini,Lens,1.0,25.0,8.0,18.3,2.3,2.3,11.1
Niclas Füllkrug,West Ham,3.0,12.0,4.0,10.6,1.8,1.8,5.2
Kyogo Furuhashi,Rennes,0.0,1.0,0.0,22.7,0.1,0.1,1.4
Manuel Fuster,Las Palmas,2.0,13.0,6.0,23.2,0.6,0.6,8.1
Alessandro Gabrielloni,Como,1.0,4.0,2.0,15.3,0.3,0.3,1.2
Gianluca Gaetano,Cagliari,2.0,27.0,6.0,16.2,4.8,4.8,10.0
Cody Gakpo,Liverpool,8.0,44.0,17.0,15.4,6.0,6.0,16.7
Ignatius Ganago,Nantes,0.0,7.0,0.0,11.7,0.4,0.4,2.7
Silvère Ganvoula M'Boussy,Monza,0.0,4.0,1.0,11.3,0.4,0.4,3.5
Álvaro García,Rayo Vallecano,3.0,49.0,16.0,17.1,5.6,5.6,22.3
Pablo Garcia,Betis,0.0,0.0,0.0,,0.0,0.0,0.3
Rubén García,Osasuna,2.0,19.0,6.0,15.3,2.0,2.0,21.9
Alejandro Garnacho,Manchester Utd,5.0,72.0,27.0,16.9,6.2,6.2,20.8
Gavi,Barcelona,1.0,4.0,1.0,13.7,0.6,0.6,7.9
Yann Gboho,Toulouse,2.0,43.0,22.0,15.8,4.6,4.6,22.0
Dennis Geiger,Hoffenheim,0.0,2.0,1.0,28.4,0.1,0.1,6.0
Tyrique George,Chelsea,0.0,2.0,0.0,11.9,0.1,0.1,1.0
Bryan Gil,Girona,3.0,32.0,15.0,19.0,2.3,2.3,19.1
Santiago Giménez,Milan,2.0,18.0,6.0,14.3,3.5,2.7,6.3
Jamie Gittens,Dortmund,8.0,50.0,23.0,16.6,3.5,3.5,18.1
Serge Gnabry,Bayern Munich,6.0,39.0,15.0,15.7,6.7,5.9,10.0
Martial Godo,Fulham,0.0,0.0,0.0,,0.0,0.0,0.2
Aleksandr Golovin,Monaco,3.0,24.0,9.0,21.4,2.3,2.3,12.8
Rodrigo Gomes,Wolves,1.0,4.0,2.0,15.9,0.4,0.4,6.8
Carlos Gómez,Rennes,2.0,6.0,4.0,20.3,0.2,0.2,3.7
Dani Gómez,Valencia,2.0,14.0,6.0,12.1,2.7,2.7,5.9
Moi Gómez,Osasuna,0.0,5.0,0.0,16.7,0.4,0.4,8.1
Unai Gómez,Athletic Club,1.0,15.0,2.0,17.4,1.3,1.3,10.6
Nicolás González,Juventus,1.0,34.0,15.0,15.6,2.8,2.8,14.5
Peter González,Getafe,0.0,8.0,2.0,22.5,0.4,0.4,4.0
Anthony Gordon,Newcastle Utd,6.0,52.0,15.0,16.2,7.8,6.3,23.6
Mario Götze,Eint Frankfurt,3.0,8.0,5.0,10.1,2.9,2.9,17.1
Amine Gouiri,Marseille,4.0,37.0,16.0,15.6,4.8,4.8,7.3
Amine Gouiri,Rennes,3.0,31.0,16.0,16.4,3.5,3.5,11.5
Samuel Grandsir,Le Havre,0.0,0.0,0.0,,0.0,0.0,0.9
Jack Grealish,Manchester City,1.0,15.0,5.0,16.3,1.1,1.1,8.0
Mason Greenwood,Marseille,16.0,92.0,39.0,20.0,12.3,7.5,26.3
Michael Gregoritsch,Freiburg,2.0,15.0,6.0,14.1,1.8,1.8,6.4
Antoine Griezmann,Atlético Madrid,8.0,39.0,14.0,18.0,6.2,4.7,24.0
Vincenzo Grifo,Freiburg,8.0,57.0,24.0,20.9,7.6,5.2,22.7
Brajan Gruda,Brighton,0.0,4.0,2.0,16.8,0.4,0.4,5.5
Marco Grüll,Werder Bremen,6.0,24.0,10.0,15.9,3.9,3.9,11.7
Albert Grønbaek,Southampton,0.0,2.0,0.0,22.4,0.1,0.1,1.6
Albert Grønbaek,Rennes,2.0,22.0,9.0,18.6,1.5,1.5,9.0
Sergi Guardiola,Rayo Vallecano,0.0,11.0,3.0,10.4,2.4,2.4,3.5
Gonçalo Guedes,Wolves,2.0,18.0,7.0,19.9,2.2,2.2,8.6
Axel Gueguin,Montpellier,0.0,0.0,0.0,,0.0,0.0,0.3
Evann Guessand,Nice,11.0,58.0,25.0,12.3,8.1,8.1,26.8
Morgan Guilavogui,St. Pauli,5.0,33.0,10.0,13.8,5.8,5.8,15.4
Luis Guilherme,West Ham,0.0,2.0,0.0,16.4,0.1,0.1,1.4
Bahereba Guirassy,Nantes,2.0,7.0,4.0,14.1,0.7,0.7,3.5
Serhou Guirassy,Dortmund,15.0,73.0,26.0,11.7,17.8,16.2,24.0
Marc Guiu,Chelsea,0.0,0.0,0.0,,0.0,0.0,0.8
Arda Güler,Real Madrid,1.0,25.0,9.0,19.4,2.3,2.3,8.6
Jon Guridi,Alavés,3.0,17.0,10.0,15.5,3.0,2.2,17.7
Gorka Guruzeta,Athletic Club,6.0,48.0,16.0,13.0,4.7,4.6,16.7
Albert Guðmundsson,Fiorentina,6.0,21.0,9.0,22.2,3.8,2.2,11.7
Emmanuel Gyasi,Empoli,2.0,17.0,7.0,10.0,3.6,3.6,29.1
Christian Gytkjær,Venezia,2.0,10.0,2.0,16.9,1.6,0.9,5.4
Erling Haaland,Manchester City,21.0,99.0,54.0,12.2,20.8,18.4,27.6
Robin Hack,Gladbach,4.0,48.0,21.0,20.0,4.6,4.6,20.7
Munir El Haddadi,Leganés,2.0,10.0,4.0,20.0,0.7,0.7,6.3
Sébastien Haller,Leganés,0.0,4.0,1.0,14.1,0.4,0.4,4.5
Ali Al Hamadi,Ipswich Town,0.0,4.0,0.0,15.7,0.4,0.4,1.5
Phil Harres,Holstein Kiel,8.0,34.0,15.0,12.7,4.9,4.9,15.8
Jack Harrison,Everton,1.0,27.0,6.0,16.3,3.3,3.3,19.4
Abdou Harroui,Hellas Verona,1.0,15.0,4.0,17.7,2.2,2.2,5.1
Kai Havertz,Arsenal,9.0,52.0,21.0,11.7,9.4,9.4,20.4
Hwang Hee-chan,Wolves,2.0,5.0,3.0,17.4,0.8,0.8,7.2
Luis Henrique,Marseille,7.0,27.0,13.0,14.0,4.0,4.0,25.8
Son Heung-min,Tottenham,7.0,53.0,24.0,17.0,7.0,5.4,22.3
George Hirst,Ipswich Town,2.0,8.0,4.0,11.6,1.2,1.2,4.1
Adam Hložek,Hoffenheim,6.0,50.0,18.0,17.6,4.7,4.7,16.9
Philipp Hofmann,Bochum,3.0,48.0,18.0,14.0,5.0,5.0,23.7
Lucas Höler,Freiburg,3.0,29.0,14.0,11.1,6.4,5.6,17.5
Mason Holgate,Everton,0.0,0.0,0.0,,0.0,0.0,0.1
Benedict Hollerbach,Union Berlin,8.0,62.0,19.0,15.3,6.1,6.1,23.4
Gerrit Holtmann,Bochum,1.0,25.0,5.0,20.9,1.8,1.8,11.0
Franck Honorat,Gladbach,2.0,23.0,5.0,15.9,3.5,3.5,13.1
Mathias Honsak,Heidenheim,4.0,26.0,9.0,17.0,3.2,3.2,11.9
Ilyes Housni,Le Havre,0.0,5.0,0.0,13.2,0.2,0.2,2.5
Callum Hudson-Odoi,Nott'ham Forest,5.0,37.0,17.0,18.3,2.5,2.5,23.0
Omari Hutchinson,Ipswich Town,3.0,36.0,16.0,20.8,2.3,2.3,24.7
Rasmus Højlund,Manchester Utd,3.0,23.0,9.0,13.5,3.3,3.3,17.6
Hafiz Ibrahim,Reims,0.0,3.0,0.0,12.3,0.3,0.3,3.0
Arijon Ibrahimović,Bayern Munich,0.0,0.0,0.0,,0.0,0.0,0.0
Stanis Idumbo,Sevilla,1.0,4.0,2.0,23.5,0.6,0.6,3.2
Borja Iglesias,Celta Vigo,5.0,32.0,17.0,13.4,5.8,5.8,17.6
Kelechi Iheanacho,Sevilla,0.0,9.0,2.0,13.9,1.5,1.5,4.4
Jonathan Ikone,Como,2.0,10.0,4.0,14.7,1.1,1.1,3.0
Jonathan Ikone,Fiorentina,0.0,9.0,5.0,14.5,0.8,0.8,3.7
George Ilenikhena,Monaco,3.0,19.0,7.0,12.9,4.8,4.8,7.1
Andrej Ilic,Union Berlin,3.0,17.0,6.0,13.2,2.7,1.9,6.9
Samuel Iling-Junior,Bologna,1.0,4.0,1.0,19.0,0.1,0.1,1.3
Danny Ings,West Ham,1.0,14.0,5.0,15.5,2.3,2.3,3.2
Alessio Iovine,Como,0.0,1.0,0.0,26.0,0.0,0.0,4.2
Alexander Isak,Newcastle Utd,20.0,75.0,33.0,14.4,16.6,15.1,25.2
Gustav Isaksen,Lazio,4.0,49.0,21.0,19.0,3.6,3.6,21.6
Yanis Issoufou,Montpellier,0.0,2.0,0.0,12.4,0.1,0.1,0.9
Junya Ito,Reims,4.0,29.0,11.0,13.4,4.6,4.6,27.3
Alex Iwobi,Fulham,8.0,57.0,25.0,18.3,4.1,4.1,27.4
Nicolas Jackson,Chelsea,9.0,72.0,31.0,12.6,12.1,12.1,21.6
Adnan Januzaj,Las Palmas,2.0,11.0,3.0,22.8,0.6,0.6,4.1
Ali Jasim,Como,0.0,0.0,0.0,,0.0,0.0,0.1
Daniel Jebbison,Bournemouth,0.0,2.0,1.0,12.3,0.2,0.2,0.8
Gabriel Jesus,Arsenal,3.0,20.0,7.0,11.1,3.0,3.0,6.8
Alejandro Jiménez,Milan,0.0,10.0,4.0,24.3,0.6,0.6,9.9
Raúl Jiménez,Fulham,10.0,76.0,26.0,14.7,10.4,8.1,21.4
João Pedro,Brighton,10.0,41.0,15.0,17.1,8.9,4.9,21.0
John Joe,Getafe,0.0,2.0,0.0,20.9,0.1,0.1,0.5
Joelinton,Newcastle Utd,4.0,44.0,13.0,14.0,3.9,3.9,24.9
Jofre,Espanyol,3.0,35.0,10.0,19.8,2.3,2.3,20.0
Ben Johnson,Ipswich Town,1.0,7.0,3.0,12.6,1.1,1.1,13.6
Brennan Johnson,Tottenham,11.0,53.0,20.0,11.4,9.8,9.8,21.9
Jota,Rennes,1.0,4.0,2.0,9.7,1.3,1.3,3.7
Diogo Jota,Liverpool,6.0,41.0,13.0,12.7,6.8,6.8,11.6
Antoine Joujou,Le Havre,0.0,11.0,2.0,18.4,0.6,0.6,10.3
Luka Jović,Milan,2.0,8.0,3.0,13.3,1.9,1.9,3.1
Juanmi,Getafe,0.0,11.0,5.0,13.4,2.1,2.1,7.1
Juanmi,Betis,0.0,6.0,1.0,14.1,0.7,0.7,2.7
Vinicius Júnior,Real Madrid,11.0,68.0,21.0,17.4,9.6,7.5,20.9
Yusuf Kabadayı,Augsburg,1.0,4.0,1.0,19.7,0.6,0.6,0.8
Issa Kaboré,Werder Bremen,0.0,7.0,0.0,13.4,0.7,0.7,3.4
Yaya Kader Fofana,Reims,1.0,13.0,4.0,20.1,0.6,0.6,7.0
Tino Kadewere,Nantes,1.0,7.0,5.0,16.0,1.6,1.6,5.3
Arnaud Kalimuendo,Rennes,14.0,58.0,22.0,16.5,12.4,7.1,24.8
Justin-Noël Kalumba,Angers,0.0,1.0,0.0,25.6,0.0,0.0,0.3
Harry Kane,Bayern Munich,23.0,92.0,40.0,16.6,18.3,11.3,23.5
Lee Kang-in,Paris S-G,6.0,37.0,14.0,18.8,3.1,3.1,15.5
Yann Karamoh,Torino,0.0,24.0,6.0,17.2,1.2,1.2,11.1
Jesper Karlsson,Bologna,1.0,6.0,2.0,20.3,0.7,0.7,3.3
Jesper Karlsson,Lecce,0.0,8.0,4.0,19.4,0.6,0.6,3.6
Lior Kasa,Genoa,0.0,4.0,2.0,19.9,0.3,0.3,1.8
Grigoris Kastanos,Hellas Verona,1.0,22.0,5.0,23.0,1.0,1.0,9.3
Mikkel Kaufmann,Heidenheim,0.0,3.0,3.0,14.6,0.5,0.5,4.1
Michael Kayode,Fiorentina,0.0,1.0,0.0,11.4,0.1,0.1,1.4
Moise Kean,Fiorentina,17.0,88.0,38.0,15.0,16.0,14.4,27.0
Yassine Kechta,Le Havre,2.0,27.0,9.0,26.1,2.3,2.3,19.3
Abdoulaye Keita,Getafe,0.0,2.0,0.0,25.8,0.0,0.0,1.1
Kenedy,Valladolid,0.0,1.0,0.0,7.2,0.0,0.0,0.1
Reda Khadra,Reims,0.0,0.0,0.0,,0.0,0.0,0.9
Wahbi Khazri,Montpellier,1.0,33.0,6.0,25.1,2.2,2.2,11.3
Kiké,Alavés,11.0,46.0,20.0,15.9,7.5,5.9,22.7
Joshua King,Fulham,0.0,1.0,0.0,5.3,0.2,0.2,0.9
Joshua King,Toulouse,5.0,36.0,15.0,15.6,5.2,5.2,14.8
Tim Kleindienst,Gladbach,15.0,68.0,33.0,13.0,13.1,11.4,26.4
Justin Kluivert,Bournemouth,12.0,50.0,22.0,20.1,9.9,5.1,21.5
Derrick Köhn,Werder Bremen,2.0,13.0,4.0,15.7,0.7,0.7,14.5
Koka,Le Havre,2.0,16.0,6.0,12.8,4.4,3.6,7.3
Randal Kolo Muani,Juventus,5.0,13.0,7.0,13.1,2.6,1.8,7.5
Randal Kolo Muani,Paris S-G,2.0,15.0,6.0,11.8,4.7,3.9,4.0
Ismael Konate,Empoli,0.0,2.0,1.0,24.7,0.1,0.1,0.7
Ismaël Koné,Marseille,0.0,4.0,0.0,22.5,0.3,0.3,4.0
Teun Koopmeiners,Juventus,3.0,42.0,10.0,18.2,3.9,3.9,22.2
Christian Kouamé,Fiorentina,0.0,11.0,1.0,14.3,1.1,1.1,6.9
Christian Kouamé,Empoli,1.0,16.0,5.0,14.3,2.7,2.7,5.6
Goduine Koyalipou,Lens,2.0,25.0,10.0,14.7,2.7,2.7,5.5
Andrej Kramarić,Hoffenheim,10.0,52.0,16.0,16.0,10.1,7.8,25.9
Frans Krätzig,Heidenheim,1.0,7.0,3.0,18.9,0.5,0.5,9.6
Nikola Krstović,Lecce,10.0,124.0,34.0,18.7,11.0,8.6,29.4
Takefusa Kubo,Real Sociedad,5.0,36.0,11.0,15.6,3.3,3.3,20.3
Mohammed Kudus,West Ham,3.0,63.0,19.0,15.6,6.0,6.0,24.1
Dejan Kulusevski,Tottenham,7.0,43.0,16.0,14.7,4.1,4.1,24.1
Khvicha Kvaratskhelia,Napoli,5.0,49.0,16.0,19.4,4.1,3.4,13.1
Khvicha Kvaratskhelia,Paris S-G,2.0,24.0,9.0,19.0,2.3,2.3,7.2
Moritz-Broni Kwarteng,Bochum,0.0,6.0,1.0,25.5,0.2,0.2,1.9
Rémy Labeau Lascary,Lens,2.0,14.0,5.0,13.2,2.5,2.5,7.1
Gaëtan Laborde,Nice,9.0,60.0,18.0,14.7,9.9,6.7,16.1
Alexandre Lacazette,Lyon,12.0,45.0,27.0,13.7,13.2,9.4,19.1
Younes Lachaab,Lille,0.0,1.0,0.0,23.8,0.1,0.1,0.1
Mathis Lambourde,Hellas Verona,1.0,1.0,1.0,13.5,0.1,0.1,0.6
Mohamed Lamine Bayo,Lille,2.0,10.0,4.0,12.2,2.2,2.2,3.4
Will Lankshear,Tottenham,0.0,0.0,0.0,,0.0,0.0,0.1
Gianluca Lapadula,Cagliari,0.0,15.0,3.0,12.8,1.4,1.4,3.4
Cyle Larin,Mallorca,6.0,31.0,12.0,11.7,6.2,5.4,15.3
Juanmi Latasa,Valladolid,3.0,27.0,6.0,11.8,2.9,2.9,9.8
Valentino Lazaro,Torino,0.0,13.0,2.0,19.7,0.8,0.8,22.6
Darko Lazović,Hellas Verona,1.0,17.0,2.0,19.4,2.0,1.2,15.5
Jérémy Le Douaron,Brest,0.0,2.0,1.0,11.3,0.2,0.2,1.1
Rafael Leão,Milan,7.0,59.0,25.0,16.7,6.6,6.6,23.2
Félix Lemaréchal,Strasbourg,3.0,17.0,7.0,14.9,2.5,2.5,15.6
Esteban Lepaul,Angers,7.0,29.0,13.0,12.1,4.0,4.0,13.2
Robert Lewandowski,Barcelona,25.0,101.0,42.0,13.4,24.3,21.1,26.3
Jamie Leweling,Stuttgart,2.0,26.0,15.0,19.8,1.1,1.1,16.0
Keane Lewis-Potter,Brentford,1.0,27.0,14.0,20.5,2.6,2.6,29.3
Jesper Lindstrøm,Everton,0.0,28.0,10.0,21.0,2.1,2.1,13.8
Dailon Livramento,Hellas Verona,1.0,13.0,4.0,12.0,1.8,1.8,9.6
Marin Ljubicic,Union Berlin,1.0,1.0,1.0,10.8,0.4,0.4,2.2
Javier Llabrés,Mallorca,0.0,1.0,0.0,19.7,0.0,0.0,0.6
Giovani Lo Celso,Betis,7.0,24.0,11.0,22.6,4.1,1.8,12.7
Elysée Logbo,Le Havre,0.0,1.0,0.0,3.7,0.2,0.2,0.3
Ademola Lookman,Atalanta,13.0,67.0,28.0,14.4,9.2,8.4,20.6
Diego López,Valencia,7.0,38.0,13.0,14.8,6.0,6.0,24.9
Fer López,Celta Vigo,1.0,11.0,2.0,19.8,0.8,0.8,3.9
Fermin López,Barcelona,3.0,25.0,7.0,17.4,4.2,4.2,9.5
Iker Losada,Celta Vigo,1.0,2.0,1.0,11.7,0.7,0.7,3.1
Iker Losada,Betis,0.0,5.0,1.0,18.5,0.5,0.5,3.7
Lorenzo Lucca,Udinese,10.0,57.0,22.0,13.7,7.2,6.4,24.8
Romelu Lukaku,Napoli,11.0,43.0,16.0,14.4,10.6,7.4,25.2
Dodi Lukebakio,Sevilla,11.0,77.0,34.0,19.9,8.1,7.3,29.0
Milos Lukovic,Strasbourg,0.0,0.0,0.0,,0.0,0.0,0.1
Zito Luvumbo,Cagliari,2.0,18.0,3.0,16.9,1.4,1.4,13.6
Mathias Løvik,Parma,0.0,1.0,0.0,11.5,0.1,0.1,0.9
Othmane Maamma,Montpellier,1.0,7.0,3.0,14.7,0.7,0.7,3.0
Shuto Machino,Holstein Kiel,7.0,39.0,15.0,17.5,4.5,3.7,17.7
Darwin Machís,Valladolid,0.0,10.0,1.0,21.1,0.8,0.8,5.3
Noni Madueke,Chelsea,7.0,69.0,26.0,14.6,7.9,7.9,17.8
Edmond-Paris Maghoma,Brentford,0.0,1.0,0.0,23.8,0.1,0.1,1.3
Frank Magri,Toulouse,5.0,35.0,13.0,12.1,4.9,4.9,12.4
Hamidou Makalou,Brest,0.0,0.0,0.0,,0.0,0.0,0.2
Daniel Maldini,Monza,3.0,39.0,13.0,19.7,4.8,4.8,14.5
Daniel Maldini,Atalanta,0.0,3.0,1.0,16.9,0.1,0.1,1.2
Donyell Malen,Aston Villa,3.0,10.0,7.0,15.2,1.6,1.6,2.9
Donyell Malen,Dortmund,3.0,19.0,6.0,14.2,2.9,2.9,6.8
Ruslan Malinovskyi,Genoa,0.0,9.0,3.0,30.2,0.2,0.2,4.3
Aaron Malouda,Lille,0.0,0.0,0.0,,0.0,0.0,0.0
Dennis Man,Parma,4.0,43.0,17.0,17.5,4.3,4.3,21.7
Johan Manzambi,Freiburg,1.0,5.0,1.0,22.0,0.4,0.4,0.6
Sekou Mara,Strasbourg,1.0,15.0,3.0,16.3,1.1,1.1,7.2
Solly March,Brighton,0.0,1.0,0.0,18.2,0.1,0.1,0.9
Alberto Marí,Valencia,0.0,0.0,0.0,,0.0,0.0,0.1
Mirko Marić,Monza,0.0,1.0,0.0,16.0,0.2,0.2,1.2
Mirko Marić,Venezia,0.0,6.0,0.0,13.6,0.6,0.6,3.5
Arkaitz Mariezkurrena,Real Sociedad,1.0,5.0,2.0,17.8,0.5,0.5,1.1
Omar Marmoush,Manchester City,6.0,30.0,15.0,19.2,3.8,3.8,8.2
Omar Marmoush,Eint Frankfurt,15.0,75.0,34.0,18.1,8.8,7.3,16.1
Carlos Martín,Alavés,2.0,26.0,12.0,17.0,2.3,2.3,13.8
Gabriel Martinelli,Arsenal,6.0,38.0,17.0,12.4,5.1,5.1,19.9
Lautaro Martínez,Inter,12.0,96.0,33.0,13.8,13.1,13.1,26.5
Toni Martínez,Alavés,4.0,44.0,15.0,16.4,3.0,3.0,10.0
Javi Martón,Athletic Club,0.0,0.0,0.0,,0.0,0.0,0.6
Marvin,Las Palmas,0.0,2.0,0.0,8.7,0.1,0.1,7.6
Giorgos Masouras,Bochum,2.0,24.0,13.0,13.6,3.6,3.6,7.7
Jaime Mata,Las Palmas,0.0,11.0,3.0,11.7,2.0,2.0,5.4
Igor Matanovic,Eint Frankfurt,1.0,12.0,4.0,14.1,1.1,1.1,3.5
Jean-Philippe Mateta,Crystal Palace,13.0,56.0,23.0,15.4,11.6,10.0,25.6
Jean Mattéo Bahoya,Eint Frankfurt,2.0,9.0,3.0,16.2,1.8,1.8,7.6
Neal Maupay,Marseille,4.0,19.0,10.0,10.6,4.1,4.1,11.5
Maurides,St. Pauli,0.0,0.0,0.0,,0.0,0.0,0.0
Stephy Mavididi,Leicester City,4.0,26.0,7.0,16.1,1.8,1.8,17.0
Keke Maximilian Topp,Werder Bremen,1.0,5.0,3.0,11.3,0.8,0.8,2.7
Borja Mayoral,Getafe,4.0,12.0,6.0,13.7,2.9,2.1,7.3
Pasquale Mazzocchi,Napoli,0.0,3.0,1.0,13.4,0.3,0.3,6.9
Samuel Mbangula,Juventus,3.0,8.0,5.0,19.6,0.5,0.5,7.8
Ethan Mbappé,Lille,0.0,11.0,4.0,18.1,1.1,1.1,2.3
Kylian Mbappé,Real Madrid,22.0,121.0,62.0,16.9,19.9,14.4,27.3
Ibrahim Mbaye,Paris S-G,1.0,3.0,3.0,10.7,0.9,0.9,1.1
Bryan Mbeumo,Brentford,16.0,62.0,28.0,17.8,10.0,6.0,31.9
James Mcatee,Manchester City,3.0,11.0,4.0,13.6,2.7,2.7,2.5
Kasey McAteer,Leicester City,0.0,8.0,3.0,16.7,0.6,0.6,5.4
Oliver McBurnie,Las Palmas,2.0,25.0,8.0,11.9,3.9,3.9,15.0
John McGinn,Aston Villa,1.0,24.0,3.0,16.6,2.5,2.2,21.0
Dwight McNeil,Everton,3.0,23.0,8.0,22.0,0.9,0.9,12.7
Henrik Meister,Rennes,1.0,2.0,1.0,17.4,0.1,0.1,0.7
Mohamed Meité,Rennes,0.0,10.0,1.0,11.5,1.1,1.1,4.4
Mateo Mejía,Sevilla,0.0,0.0,0.0,,0.0,0.0,0.1
Farid El Melali,Angers,2.0,44.0,14.0,21.8,3.5,3.5,19.5
Filippo Melegoni,Genoa,0.0,1.0,0.0,21.4,0.0,0.0,1.0
Mikel Merino,Arsenal,6.0,30.0,12.0,10.9,3.9,3.9,14.9
Junior Messias,Genoa,1.0,13.0,4.0,21.7,2.0,1.1,6.4
Lucas Michal,Monaco,0.0,3.0,1.0,12.5,0.2,0.2,1.1
Miguel,Leganés,1.0,31.0,14.0,15.8,4.9,3.3,18.4
Valentin Mihaila,Parma,0.0,31.0,11.0,22.1,2.4,2.4,14.3
Georges Mikautadze,Lyon,9.0,42.0,19.0,14.3,8.8,5.6,13.6
Igor Miladinović,Saint-Étienne,0.0,0.0,0.0,,0.0,0.0,0.3
Pere Milla,Espanyol,1.0,7.0,3.0,15.1,0.6,0.6,3.2
Enzo Millot,Stuttgart,4.0,38.0,14.0,16.4,7.1,6.3,18.1
Takumi Minamino,Monaco,5.0,48.0,16.0,15.1,7.8,7.8,20.7
Kim Minsu,Girona,0.0,0.0,0.0,,0.0,0.0,0.2
Yankuba Minteh,Brighton,5.0,27.0,13.0,13.9,3.5,3.5,15.6
Bojan Miovski,Girona,2.0,14.0,4.0,12.3,2.7,2.7,9.4
Rafa Mir,Valencia,0.0,16.0,2.0,15.6,2.0,2.0,5.0
Fabio Miretti,Genoa,3.0,24.0,6.0,17.4,3.1,3.1,18.6
Kaoru Mitoma,Brighton,7.0,50.0,23.0,14.1,7.5,7.5,27.4
Koji Miyoshi,Bochum,1.0,12.0,5.0,21.1,1.1,1.1,5.0
Max Moerstedt,Hoffenheim,0.0,12.0,4.0,12.2,0.8,0.8,5.0
Terem Moffi,Nice,0.0,3.0,1.0,11.9,0.4,0.4,0.5
Mostafa Mohamed,Nantes,4.0,36.0,14.0,13.8,4.2,4.2,11.1
David Mokwa,Hoffenheim,0.0,2.0,2.0,5.4,0.3,0.3,0.2
Alberto Moleiro,Las Palmas,6.0,58.0,23.0,18.8,5.2,5.2,24.5
Florent Mollet,Nantes,0.0,6.0,2.0,15.6,0.3,0.3,2.7
Jeremy Monga,Leicester City,0.0,0.0,0.0,,0.0,0.0,0.2
Mikey Moore,Tottenham,0.0,3.0,0.0,19.5,0.2,0.2,2.1
Álvaro Morata,Milan,5.0,27.0,10.0,11.3,3.9,3.9,12.2
Gerard Moreno,Villarreal,3.0,23.0,9.0,18.2,4.2,1.8,7.2
Tete Morente,Lecce,3.0,30.0,9.0,20.1,2.5,2.5,19.6
Raúl Moro,Valladolid,3.0,32.0,11.0,18.4,2.3,2.3,19.3
Daniel Mosquera,Hellas Verona,5.0,46.0,12.0,12.6,5.9,5.9,12.6
Dany Mota,Monza,5.0,35.0,10.0,13.4,4.1,4.1,20.1
Youssoufa Moukoko,Nice,2.0,6.0,2.0,11.6,2.2,2.2,2.3
Steve Mounié,Augsburg,0.0,17.0,4.0,11.1,1.9,1.9,3.3
Mason Mount,Manchester Utd,0.0,6.0,3.0,18.3,0.7,0.7,3.5
Divin Mubama,Manchester City,0.0,1.0,0.0,17.2,0.0,0.0,0.3
Mykhailo Mudryk,Chelsea,0.0,1.0,1.0,11.6,0.3,0.3,1.7
Thomas Müller,Bayern Munich,1.0,24.0,10.0,16.2,3.2,3.2,11.0
Marshall Munetsi,Wolves,1.0,15.0,5.0,14.8,3.0,3.0,6.8
